cons_12m,cons_gas_12m,forecast_cons_12m,forecast_cons_year,forecast_discount_energy,forecast_meter_rent_12m,forecast_price_energy_peak,margin_gross_net_pow_ele,nb_prod_act,net_margin,num_years_antig,pow_max,var_year_price_off_peak_var,var_year_price_peak_var,var_year_price_off_peak_fix,var_year_price_peak_fix,var_6m_price_off_peak_var,var_6m_price_peak_var,var_6m_price_mid_peak_var,channel_sales,has_gas,month_activ,day_activ,month_modif_prod,day_modif_prod,day_renewal,offpeak_diff_dec_january_energy,offpeak_diff_dec_january_power,peak_diff_dec_january_energy,peak_diff_dec_january_power,midpeak_diff_dec_january_energy,churn
0,54946,0.0,0,0.0,1.78,0.098142,25.44,2,678.99,3,43.648,6.129362790151515e-05,2.6276049696969715e-05,1.1027846956785217,49.55070278697598,0.0001314535265666,4.10083842666666e-05,0.0009084736945666,4,1,6,15,11,1,23,0.02005699999999999,3.7009605600000057,-0.017911999999999997,-24.33958068,-0.071536,1
4660,0,189.95,0,0.0,16.27,0.0,16.38,1,18.89,6,13.8,4.894689356060596e-06,0.0006089452740833,0.0064647789908397,0.0,3.350259766666641e-06,0.0012178905481666,0.0,0,0,8,21,8,21,31,-0.0037669999999999926,0.17777879999999868,0.0,0.0,0.0,0
544,0,47.96,0,0.0,38.72,0.087899,28.6,1,6.6,6,13.856,5.738446424242413e-06,2.558511136363673e-07,0.0076618913283488,0.0,3.5697306666666378e-06,9.450150000000093e-08,0.0,4,0,4,16,4,16,17,-0.0046700000000000075,0.17777879999999868,0.0005280000000000007,0.0,0.0,0
1584,0,240.04,0,0.0,19.83,0.0,30.22,1,25.46,6,13.2,5.36669481060609e-06,0.0,0.0064647208082943,0.0,3.318240666666617e-06,0.0,0.0,5,0,3,30,3,30,31,-0.0045469999999999955,0.17777879999999868,0.0,0.0,0.0,0
4425,0,445.75,526,0.0,131.73,0.1000149999999999,44.91,1,47.98,6,19.8,1.4800567515151491e-05,3.55248142424242e-06,0.0054289416934153,0.0019544190096292,1.1100320166666667e-05,2.896760166666666e-06,4.860000000000553e-10,0,0,1,13,1,13,9,-0.006191999999999989,0.16291560000000516,-0.0023019999999999985,0.09774935999999812,0.003487000000000004,0
8302,0,796.94,1998,0.0,30.12,0.086131,33.12,1,118.89,4,13.2,1.321997281060616e-05,3.4529359090907487e-06,3.8181818111259284e-13,0.0,1.036078536666661e-05,4.240523999999899e-06,0.0,7,0,12,9,11,1,10,-0.00808700000000001,-1.1999999998124622e-06,-0.0042279999999998985,0.0,0.0,1
45097,0,8069.28,0,0.0,0.0,0.087538,4.04,1,346.63,4,15.0,5.679116969697228e-06,1.5034329545458559e-07,0.0,0.0,3.569730666666869e-06,9.450150000002215e-08,0.0,4,0,12,2,12,2,3,-0.004628000000000104,0.0,-0.0007530000000001008,0.0,0.0,1
29552,0,864.73,751,0.0,144.49,0.098837,53.92,1,100.09,6,26.4,1.6800727537878678e-05,3.3982987499998823e-06,0.0064343012662695,0.0023163484558568,1.110032016666668e-05,2.896760166666548e-06,4.860000000000553e-10,4,0,4,21,4,21,22,-0.007801000000000002,0.16291560000000516,-0.002904000000000004,0.09774935999999812,0.0029799999999999965,0
2962,0,444.38,0,0.0,15.85,0.0,12.82,1,42.59,4,13.2,4.391109356060598e-06,0.0,0.0064647692938031,0.0,2.842930166666625e-06,0.0,0.0,7,0,9,23,9,23,25,-0.0037669999999999926,0.17777879999999868,0.0,0.0,0.0,0
26064,0,2738.1,2188,0.0,130.43,0.099419,33.42,1,329.6,6,31.5,1.706805687878792e-05,3.3759960833333077e-06,0.0,0.0,1.110032016666668e-05,2.896760166666666e-06,4.860000000000553e-10,5,0,5,4,4,29,5,-0.0071370000000000045,0.0,-0.002149999999999999,0.0,0.0038629999999999914,0
